Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
2245412,2,3,3,3,Good,2.10659055,In,202896,0.263512715,0.580109527
2245536,2,3,3,3,Good,2.472513733,In,2391,0.3299482,0.743208625
2259863,2,3,3,3,Good,2.880503491,In,2391,0.347985547,0.709725545
2259864,2,3,3,3,Good,2.66622795,In,3034829,0.338401699,0.69641947
2302730,2,3,3,3,Good,3.111499836,In,3034829,0.392794127,0.636745059
2302731,2,3,3,3,Good,1.486491058,In,8554,0.101191592,0.811281603
2302732,2,3,3,3,Good,1.528081232,In,8554,0.090653628,0.829613924
2306092,2,3,3,3,Good,1.589105819,In,24072,0.317783392,0.734671596
2311516,2,3,3,3,Good,1.842489266,In,6785,0.363623317,0.486856817
2326127,2,3,3,3,Good,1.298647297,In,8554,0.050515487,0.924066402
2342124,2,3,3,3,Good,2.50658529,In,8344,0.258412622,0.638452971
2379358,2,3,3,3,Good,2.730387981,In,8573,0.202037544,0.699358452
2379368,2,3,3,3,Good,2.874844719,In,70897,0.385121128,0.617087415
2379395,2,3,3,3,Good,1.911077061,In,8554,0.293406573,0.554490726
2427342,2,3,2,3,Good,3.501351588,In,70897,0.276114625,0.80175769
2477762,2,3,3,3,Good,3.537409133,In,15854,0.344259672,0.639582369
2490383,2,3,3,3,Good,2.942244234,In,202896,0.236932836,0.630632834
2538590,2,3,3,3,Good,3.276896225,In,3034829,0.253146115,0.682685494
2649366,2,3,2,3,Good,3.603123241,In,3259,0.269103953,0.679733261
2747933,2,3,3,3,Good,2.551244903,In,2391,0.325355023,0.688997328
2747934,2,3,3,3,Good,2.187291671,In,5502,0.12040868,0.652332944
