"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,136,226525,True external,-,0.0195449672178538,0,0.99709334677853,0,0,1.2274,-,0.0421,Good
,137,226754,True external,-,-0.126202060585169,0,0.996684301130728,0,0,1.4413,-,0.0472,Good
,138,228533,True external,-,-0.0317180946124574,0,0.997385954090183,0,10.4868561891685,1.8751,-,0.032,Good
,139,235011,True external,-,0.00338523446211615,0,0.994598965179279,7,33.2034927557905,4.7196,-,0.4852,Moderate
,140,235340,True external,-,-0.041199063145365,0,0.995181151026324,2,0,1.9797,-,0.136,Good
,141,237865,True external,-,-0.369755471925743,0,0.997612390052566,0,10.4868561891685,2.0262,-,0.1045,Good
,142,238206,True external,-,-0.242287954324649,0,0.997790853028083,0,10.4868561891685,1.8918,-,0.0668,Good
,143,241295,True external,-,-0.256718233679209,0,0.995743139089249,0,0,1.8018,-,0.1037,Good
,144,241296,True external,-,-0.239812045561148,0,0.996546706093253,0,0,1.5549,-,0.0685,Good
,145,241307,True external,-,-0.0698714362981717,0,0.996875591227229,0,0,1.3489,-,0.0412,Good
,146,241310,True external,-,-0.545175367920451,0,0.996413674233643,0,0,1.7906,-,0.1973,Good
,147,241315,True external,-,-0.197232126111346,0,0.996546706093253,0,9.18476976608839,2.1412,-,0.0522,Good
,148,247591,True external,-,-0.326055413597884,0,0.994721424535935,0,0,2.1465,-,0.2019,Good
,149,247592,True external,-,0.403503606560052,0,0.99393935430176,0,0,1.9065,-,0.3733,Good
,150,249299,True external,-,-0.263630920328063,0,0.997213667577237,0,0,1.3743,-,0.0689,Good
